Ticker,Company,Sector,Current Price,Intrinsic Value,Margin of Safety,MoS %,MoS Band,Piotroski F-Score,Altman Z-Score,WACC,ROIC,EV/FCF Yield,Normalized EPS,EPV Value,Multiple Value,DCF Value,Interest Coverage,Debt/Equity,Years of Data
CSCO,"Cisco Systems, Inc.",Technology,114.69000244140625,28.495334705744764,-3.024869461115132,-302.5%,Overvalued,8,4.40,9.4%,14.8%,2.9%,2.8495334705744764,31.661483006383072,28.495334705744764,56.66602279176284,7.8x,0.60,4
JCI,Johnson Controls International plc,Industrials,137.52000427246094,34.05977633517563,-3.037607379424731,-303.8%,Overvalued,6,2.86,10.2%,10.0%,1.6%,3.4325462087879104,38.139402319865674,34.3254620878791,34.05977633517563,12.5x,0.76,4
AME,"AMETEK, Inc.",Industrials,234.78500366210938,58.12528581104709,-3.03929202903785,-303.9%,Overvalued,6,7.87,9.3%,12.1%,2.7%,5.81252858110471,64.58365090116344,58.12528581104709,106.57217192800871,23.5x,0.22,4
ETN,Eaton Corporation plc,Industrials,360.5450134277344,87.31006953386557,-3.129478024157194,-312.9%,Overvalued,7,5.39,9.9%,14.0%,2.0%,8.731006953386558,97.01118837096176,87.31006953386557,113.51872570133867,21.6x,0.54,4
BMY,Bristol-Myers Squibb Company,Healthcare,63.810001373291016,15.251671578920183,-3.1838037911519703,-318.4%,Overvalued,8,2.47,5.1%,19.6%,7.7%,1.5251671578920183,16.94630175435576,15.251671578920183,306.4664762684599,7.3x,2.55,4
HPE,Hewlett Packard Enterprise Company,Technology,44.45500183105469,10.438350133340267,-3.2588149720198274,-325.9%,Overvalued,4,1.17,9.5%,3.0%,1.8%,1.0438350133340266,11.598166814822518,10.438350133340267,N/A,N/A,0.98,4
FLEX,Flex Ltd.,Technology,102.52749633789062,23.997681986315584,-3.2723916583424937,-327.2%,Overvalued,6,3.19,11.9%,16.2%,2.0%,2.399768198631558,26.664091095906205,23.997681986315584,N/A,6.7x,0.84,4
BX,Blackstone Inc.,Financial Services,128.19500732421875,29.67784255197533,-3.3195527808232206,-332.0%,Overvalued,6,N/A,11.8%,N/A,2.6%,2.9677842551975333,32.97538061330593,29.67784255197533,69.52286600817656,N/A,1.54,4
GRMN,Garmin Ltd.,Technology,299.0,69.203684324268,-3.320579213658256,-332.1%,Overvalued,7,19.72,9.2%,21.6%,1.9%,6.9203684324268,76.89298258252,69.203684324268,93.2464439681712,N/A,0.02,4
GNRC,Generac Holdings Inc.,Industrials,194.7100067138672,44.088213901038486,-3.4163732091964114,-341.6%,Overvalued,6,4.29,12.9%,6.0%,2.5%,4.408821390103848,48.98690433448721,44.088213901038486,N/A,4.1x,0.57,4
INCY,Incyte Corporation,Healthcare,126.5,28.249820410636776,-3.477904572886047,-347.8%,Overvalued,7,10.49,8.4%,50.3%,3.3%,2.8249820410636777,31.388689345151974,28.249820410636776,N/A,553.0x,0.01,4
CBOE,"Cboe Global Markets, Inc.",Financial Services,306.3900146484375,68.35156576851536,-3.4825602925627392,-348.3%,Overvalued,8,N/A,6.7%,26.5%,3.5%,6.835156576851536,75.9461841872393,68.35156576851536,N/A,29.0x,0.31,4
